Accession,(SSI VS NSI)p-value,(SSI VS NSI)Log2Fc,(SSI VS SS)p-value,(SSI VS SS)Log2Fc,(NSI VS NS)p-value,(NSI VS NS)Log2Fc,(SS VS NS)p-value,(SS VS NS)Log2Fc,SSI VS NSI-DE,SSI VS NSI-Up,SSI VS NSI-Down,SSI VS SS-DE,SSI VS SS-Up,SSI VS SS-Down,NSI VS NS-DE,NSI VS NS-Up,NSI VS NS-Down,SS VS NS-DE,SS VS NS-Up,SS VS NS-Down
A0A0P0WGK9_ORYSJ,0.015180586,-0.124708161,0.159544399,0.098574831,0.113995499,0.032500503,0.127524919,-0.619044664,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WH06_ORYSJ,0.102892944,0.086546717,NP,NP,0.000383983,0.479149241,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
A0A0P0WH74_ORYSJ,0.468386196,-0.002963564,NP,NP,0.002892389,0.142069782,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
A0A0P0WHC1_ORYSJ,0.010296319,0.127204162,0.018749568,0.532895437,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
A0A0P0WHD7_ORYSJ,0.004130659,-0.272164851,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WHS6_ORYSJ,0.023978501,-0.177886882,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WI29_ORYSJ,0.00309715,0.182004762,0.038710958,-0.251630421,NP,NP,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
A0A0P0WJK8_ORYSJ,1.84E-06,1.637416083,0.19671682,0.203983449,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0WLL0_ORYSJ,0.002643749,-0.236504585,0.223216471,0.079790148,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WM11_ORYSJ,0.1145739,0.154443801,0.113888695,0.393522768,0.005437224,-0.356411491,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
A0A0P0WMK8_ORYSJ,0.010072708,0.076153661,0.016294955,-0.361707742,0.427963155,-0.005382353,0.129394869,0.093019161,1,1,0,1,0,1,0,0,0,0,0,0
A0A0P0WMV7_ORYSJ,0.000304251,-0.44185582,0.136086397,0.154848124,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WN12_ORYSJ,0.004707188,-0.14830857,0.004604029,-0.402963301,NP,NP,NP,NP,1,0,1,1,0,1,0,0,0,0,0,0
A0A0P0WN33_ORYSJ,0.006733044,-0.298212953,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WNF2_ORYSJ,0.011091524,0.195195508,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0WNR2_ORYSJ,0.001726526,-0.171792498,0.294374441,-0.059966275,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WNS9_ORYSJ,0.036287796,0.223712458,0.000830103,1.496244665,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
A0A0P0WRF6_ORYSJ,0.088918615,-0.138212946,0.173810197,0.117371474,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0WRN7_ORYSJ,0.354047606,0.019560756,0.071618648,-0.246961138,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0WRU4_ORYSJ,0.000631018,-0.17891642,0.489273548,0.001640633,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WSW9_ORYSJ,0.016598784,0.488805975,NP,NP,0.015627547,-0.847123258,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
A0A0P0WTF8_ORYSJ,0.071295903,0.188919902,0.287696404,0.080743824,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0WTW7_ORYSJ,0.107653786,-0.091060659,NP,NP,5.93E-05,0.916193278,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
A0A0P0WVK3_ORYSJ,0.149016992,-0.051037704,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0WVY5_ORYSJ,0.000643048,-0.409144669,0.027407728,-0.965346498,0.012422282,0.135391851,0.023348374,1.615121402,1,0,1,1,0,1,1,1,0,1,1,0
A0A0P0WWG4_ORYSJ,0.040715113,0.293039231,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
